Book,Author,Author_gender,Author_nationality,Rating_0_to_10,Year_read,Month_finished_read,First_year_published,Genre,Length_in_words,Series,Series_name,Book_language
Warbreaker,Brandon Sanderson,Male,United States,9,2020,October,2009,Fantasy,207045,Yes,Warbreaker,English
Storytelling with Data,Cole Nussbaumer Knaflic,Male,United States,"8,5",2020,October,2015,Data Science,77454,No,,English
The Lost Hero,Rick Riordan,Male,United States,7,2020,October,2010,Adventure,178164,Yes,The Heroes of Olympus,English
The son of Neptune,Rick Riordan,Male,United States,9,2020,October,2011,Adventure,168538,Yes,The Heroes of Olympus,English
The Mark of Athena,Rick Riordan,Male,United States,9,2020,November,2012,Adventure,202231,Yes,The Heroes of Olympus,English
The House of Hades,Rick Riordan,Male,United States,"8,5",2020,November,2013,Adventure,202231,Yes,The Heroes of Olympus,English
Memoria de mis Putas Tristes ,Gabriel García Márquez,Male,Colombia,6,2020,November,2004,Magical Realism,30809,No,,Spanish
Brave New World,Aldous Huxley,Male,United Kingdom,7,2020,November,1932,Dystopia,80746,No,,English
The Blood of Olympus ,Rick Riordan,Male,United States,"7,5",2020,November,2014,Adventure,163724,Yes,The Heroes of Olympus,English
I Am Legend,Richard Matheson,Male,United States,10,2020,November,1954,Apocalyptic,89726,No,,English
2001: A Space Odyssey,Arthur C. Clarke,Male,United Kingdom,"7,5",2020,November,1968,Science Fiction,82992,No,,English
Childhood's End,Arthur C. Clarke,Male,United Kingdom,8,2020,December,1954,Science Fiction,62787,No,,English
Rendezvous With Rama,Arthur C. Clarke,Male,United Kingdom,9,2020,December,1973,Science Fiction,85236,Yes,Rama,English
The Three Body Problem,Cixin Liu,Male,China,8,2020,December,2006,Science Fiction,116656,Yes,Remembrance of Earth's Past,English
The Dark Forest,Cixin Liu,Male,China,"8,5",2020,December,2008,Science Fiction,148045,Yes,Remembrance of Earth's Past,English
Stoicism and The Art of Happiness ,Donald Robertson,Male,Scotland,"8,5",2021,January,2013,Philosophy,68841,No,,English
Beautiful Evidence,Edward Tufte,Male,United States,9,2021,January,2006,Design,53250,No,,English
Light of the Jedi,Charles Soule,Male,United States,"7,5",2021,January,2021,Science Fiction,84000,Yes,The High Republic,English
The way of Kings,Brandon Sanderson,Male,United States,"9,5",2021,February,2010,Fantasy,385142,Yes,The stormlight Archive,English
Words of Radiance,Brandon Sanderson,Male,United States,10,2021,February,2014,Fantasy,399582,Yes,The stormlight Archive,English
